evaluation_policy_version,round_id,round_number,provenance_class,formal_cohort,active_phase,candidate_id,formulation_id,recommendation_type,selection_rank,endpoint,endpoint_role,metric_type,prediction_mean,prediction_std,observed_mean,observed_unit,replicate_count,completed_row_count,evaluation_eligible,exclusion_reason,formal_metric_eligible,formal_exclusion_reason,signed_error,absolute_error,squared_error,standardized_residual,interval_95_lower,interval_95_upper,interval_95_covered,brier_score,classification_correct
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000100,v2_655729013931,screening_candidate,5,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000175,v2_34d667ff4762,screening_candidate,6,viability_percent,primary,continuous,75.02014328334118,55.46835833529606,63.879999999999995,percent,4,4,True,,False,outside_formal_cohort,11.140143283341189,11.140143283341189,124.1027923733718,0.20083780406842158,-33.69783905383909,183.73812562052146,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000175,v2_34d667ff4762,screening_candidate,6,intact_patch_formation_pass,gate_secondary,binary,0.0533959849673015,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.9466040150326985,0.9466040150326985,0.8960591612760254,,,,,0.8960591612760254,False
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000175,v2_34d667ff4762,screening_candidate,6,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000544,v2_db8935ce2c34,screening_candidate,7,viability_percent,primary,continuous,70.89999796666953,56.4226461325459,61.5875,percent,4,4,True,,False,outside_formal_cohort,9.312497966669532,9.312497966669532,86.72261837922417,0.1650489405405229,-39.688388453120425,181.48838438645947,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000544,v2_db8935ce2c34,screening_candidate,7,intact_patch_formation_pass,gate_secondary,binary,0.0745683499978527,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.9254316500021473,0.9254316500021473,0.8564237388256969,,,,,0.8564237388256969,False
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000544,v2_db8935ce2c34,screening_candidate,7,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001951,v2_fc5b4c04eee9,screening_candidate,8,viability_percent,primary,continuous,73.31494357392751,55.81989445811207,56.287499999999994,percent,4,4,True,,False,outside_formal_cohort,17.027443573927513,17.027443573927513,289.9338346632854,0.30504256124498974,-36.09204956397214,182.72193671182714,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001951,v2_fc5b4c04eee9,screening_candidate,8,intact_patch_formation_pass,gate_secondary,binary,0.0348482719715386,,0.0,binary,1,4,True,,False,outside_formal_cohort,0.0348482719715386,0.0348482719715386,0.0012144020594023227,,,,,0.0012144020594023227,True
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001951,v2_fc5b4c04eee9,screening_candidate,8,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001221,v2_3e8ef993abba,screening_candidate,9,viability_percent,primary,continuous,64.6351809215667,57.3121934763919,65.5625,percent,4,4,True,,False,outside_formal_cohort,-0.9273190784332996,0.9273190784332996,0.8599206732263841,-0.0161801358870566,-47.69671829216142,176.96708013529482,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001221,v2_3e8ef993abba,screening_candidate,9,intact_patch_formation_pass,gate_secondary,binary,0.0943187908629621,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.9056812091370379,0.9056812091370379,0.8202584525839269,,,,,0.8202584525839269,False
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001221,v2_3e8ef993abba,screening_candidate,9,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000917,v2_8a721b7d8f1c,screening_candidate,10,viability_percent,primary,continuous,61.85534525998814,59.06993129893102,63.9975,percent,4,4,True,,False,outside_formal_cohort,-2.1421547400118612,2.1421547400118612,4.588826930155284,-0.03626472374195275,-53.92172008591665,177.63241060589291,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000917,v2_8a721b7d8f1c,screening_candidate,10,intact_patch_formation_pass,gate_secondary,binary,0.0840810143125545,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.9159189856874455,0.9159189856874455,0.838907588342719,,,,,0.838907588342719,False
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_000917,v2_8a721b7d8f1c,screening_candidate,10,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001243,v2_384020959c42,screening_candidate,11,viability_percent,primary,continuous,60.01312735920696,59.20701061168864,21.375,percent,4,4,True,,False,outside_formal_cohort,38.63812735920696,38.63812735920696,1492.9048858262975,0.6525937884723912,-56.03261343970277,176.0588681581167,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001243,v2_384020959c42,screening_candidate,11,intact_patch_formation_pass,gate_secondary,binary,0.1573704473368214,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.8426295526631786,0.8426295526631786,0.7100245630213485,,,,,0.7100245630213485,False
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001243,v2_384020959c42,screening_candidate,11,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001783,v2_b2c883db5caf,screening_candidate,12,viability_percent,primary,continuous,59.68654439163221,59.68694521530764,43.185,percent,4,4,True,,False,outside_formal_cohort,16.50154439163221,16.50154439163221,272.3009673090084,0.2764682349231727,-57.29986823037076,176.6729570136352,True,,
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001783,v2_b2c883db5caf,screening_candidate,12,intact_patch_formation_pass,gate_secondary,binary,0.0417515840394666,,1.0,binary,1,4,True,,False,outside_formal_cohort,-0.9582484159605335,0.9582484159605335,0.9182400266908716,,,,,0.9182400266908716,False
prospective_evaluation_v2,ROUND_002,2,migration_frozen_supplementary,False,screening_only,cand_001783,v2_b2c883db5caf,screening_candidate,12,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,4,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,retest_v2_75d69addc009,v2_75d69addc009,retest_priority,1,viability_percent,primary,continuous,29.24575715487311,0.9991394709236764,34.5,percent,2,2,True,,True,,-5.254242845126889,5.254242845126889,27.607067875567104,-5.258768168041134,27.287443791862707,31.204070517883515,False,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,retest_v2_75d69addc009,v2_75d69addc009,retest_priority,1,intact_patch_formation_pass,gate_secondary,binary,0.455725392125923,,1.0,binary,1,2,True,,True,,-0.544274607874077,0.544274607874077,0.29623484877648026,,,,,0.29623484877648026,False
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,retest_v2_75d69addc009,v2_75d69addc009,retest_priority,1,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,2,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,rescue_000002,v2_430e18c49d10,rescue_candidate,2,viability_percent,primary,continuous,59.625548284101335,9.520940751078903,65.0,percent,2,2,True,,True,,-5.374451715898665,5.374451715898665,28.88473124652611,-0.5644874657254472,40.96450441198668,78.28659215621599,True,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,rescue_000002,v2_430e18c49d10,rescue_candidate,2,intact_patch_formation_pass,gate_secondary,binary,0.5498840382139313,,1.0,binary,1,2,True,,True,,-0.4501159617860687,0.4501159617860687,0.2026043790545977,,,,,0.2026043790545977,True
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,rescue_000002,v2_430e18c49d10,rescue_candidate,2,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,2,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,cand_001256,v2_d93bf1a562c8,screening_candidate,3,viability_percent,primary,continuous,58.724742992940016,24.187978918531524,29.0,percent,2,2,True,,True,,29.724742992940016,29.724742992940016,883.5603459963365,1.2289056102230402,11.316304312618229,106.1331816732618,True,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,cand_001256,v2_d93bf1a562c8,screening_candidate,3,intact_patch_formation_pass,gate_secondary,binary,0.389155289964007,,1.0,binary,1,2,True,,True,,-0.610844710035993,0.610844710035993,0.37313125977895645,,,,,0.37313125977895645,False
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,cand_001256,v2_d93bf1a562c8,screening_candidate,3,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,2,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,cand_000026,v2_84c11063c325,screening_candidate,4,viability_percent,primary,continuous,62.813166233359446,21.785070096186512,44.5,percent,2,2,True,,True,,18.313166233359446,18.313166233359446,335.37205749065663,0.8406292085589927,20.11442884483388,105.51190362188501,True,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,cand_000026,v2_84c11063c325,screening_candidate,4,intact_patch_formation_pass,gate_secondary,binary,0.4022274037805889,,0.0,binary,1,2,True,,True,,0.4022274037805889,0.4022274037805889,0.16178688435207292,,,,,0.16178688435207292,True
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,cand_000026,v2_84c11063c325,screening_candidate,4,critical_axial_load_N_per_needle,mechanical_secondary,continuous,0.0,0.0,,,0,2,False,not_measured,False,not_measured,,,,,,,,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,cand_000143,v2_4aeffae55153,screening_candidate,5,viability_percent,primary,continuous,59.81772975597263,23.352298676726456,48.5,percent,2,2,True,,True,,11.317729755972628,11.317729755972628,128.09100682922826,0.48465163591163685,14.047224349588774,105.58823516235648,True,,
prospective_evaluation_v2,ROUND_003,3,formal_frozen,True,screening_only,cand_000143,v2_4aeffae55153,screening_candidate,5,intact_patch_formation_pass,gate_secondary,binary,0.6482014342566541,,0.0,binary,1,2,True,,True,,0.6482014342566541,0.6482014342566541,0.4201650993723835,,,,,0.4201650993723835,False
