endpoint,mechanical_definition_id,round_id,variant,baseline,n,mae_change,mean_absolute_prediction_change
viability_percent,,ROUND_007,sens_logit,sens_baseline,12,0.04964918437628718,1.2999244442871887
viability_percent,,ROUND_008,sens_mixed_sources,sens_baseline,12,15.578916565960373,15.990744488570952
viability_percent,,ROUND_008,sens_bounds,sens_baseline,12,-5.206573854866177,16.371331521870456
viability_percent,,ROUND_008,sens_matern15,sens_baseline,12,-0.11713110024156137,0.45195095222475895
viability_percent,,ROUND_008,sens_rbf,sens_baseline,12,0.6706652422189876,1.263405081290611
viability_percent,,ROUND_008,sens_length_short,sens_baseline,12,-1.514244214437312,3.717485847294435
viability_percent,,ROUND_008,sens_length_long,sens_baseline,12,-7.481510872383508,12.90394045726604
viability_percent,,ROUND_008,sens_length_learned,sens_baseline,12,0.049332722470367685,0.736098599922327
viability_percent,,ROUND_008,sens_ard_learned,sens_baseline,12,-5.2225557212251665,7.489822984433428
viability_percent,,ROUND_008,sens_amplitude_learned,sens_baseline,12,-0.0019205432024946845,0.004415442938302465
viability_percent,,ROUND_008,sens_mean_median,sens_baseline,12,0.6075864625262639,0.6080718287756052
viability_percent,,ROUND_008,sens_recent3,sens_baseline,12,-6.916747252745084,9.449452925568309
viability_percent,,ROUND_008,sens_noise_learned,sens_baseline,12,0.0020200637652294517,0.7707052424638418
viability_percent,,ROUND_008,sens_bounds_learned,sens_baseline,12,-2.0404236381329817,2.0550288592815193
viability_percent,,ROUND_008,sens_bounds_learned_wide,sens_bounds_learned,12,3.179912207329494e-05,6.380761653357325e-05
viability_percent,,ROUND_008,sens_bounds_learned_restarts,sens_bounds_learned,12,0.0,0.0
viability_percent,,ROUND_008,sens_noise_1pp,sens_baseline,12,0.0,0.0
viability_percent,,ROUND_008,sens_noise_3pp,sens_baseline,12,0.07283094053784112,0.2459206510123583
viability_percent,,ROUND_008,sens_noise_5pp,sens_baseline,12,0.06765976453055345,0.5630022578062915
viability_percent,,ROUND_008,sens_noise_10pp,sens_baseline,12,-0.3750241543205419,1.2914798609697258
viability_percent,,ROUND_008,sens_logit,sens_baseline,12,-0.7556516976800438,0.7556516976800453
viability_percent,,ROUND_009,sens_mixed_sources,sens_baseline,12,11.140253269805148,12.760050438772957
viability_percent,,ROUND_009,sens_bounds,sens_baseline,12,-0.12774790927108448,3.032754407050134
viability_percent,,ROUND_009,sens_matern15,sens_baseline,12,-0.21064129533025344,0.337390046175269
viability_percent,,ROUND_009,sens_rbf,sens_baseline,12,1.146607027357291,1.537950914142127
viability_percent,,ROUND_009,sens_length_short,sens_baseline,12,1.2567323709493756,4.990831020343123
viability_percent,,ROUND_009,sens_length_long,sens_baseline,12,-0.3715418920028224,2.9317030682747767
viability_percent,,ROUND_009,sens_length_learned,sens_baseline,12,0.1975938752565689,0.866400977695165
viability_percent,,ROUND_009,sens_ard_learned,sens_baseline,12,0.4282472896220444,5.479080942839261
viability_percent,,ROUND_009,sens_amplitude_learned,sens_baseline,12,0.005561621735376221,0.005752538336896151
viability_percent,,ROUND_009,sens_mean_median,sens_baseline,12,-0.22814131913108682,0.3538431258300223
viability_percent,,ROUND_009,sens_recent3,sens_baseline,12,1.1408761904152378,10.253682971240856
viability_percent,,ROUND_009,sens_noise_learned,sens_baseline,12,-0.6403911552142727,0.8370526886760352
viability_percent,,ROUND_009,sens_bounds_learned,sens_baseline,12,0.2078704326045102,0.7152746343550968
viability_percent,,ROUND_009,sens_bounds_learned_wide,sens_bounds_learned,12,3.2827652596267853e-07,9.327045168798046e-07
viability_percent,,ROUND_009,sens_bounds_learned_restarts,sens_bounds_learned,12,0.0,0.0
viability_percent,,ROUND_009,sens_noise_1pp,sens_baseline,12,0.0,0.0
viability_percent,,ROUND_009,sens_noise_3pp,sens_baseline,12,-0.18719889516496835,0.1991416712075207
viability_percent,,ROUND_009,sens_noise_5pp,sens_baseline,12,-0.39688201275092005,0.4458686997914422
viability_percent,,ROUND_009,sens_noise_10pp,sens_baseline,12,-0.8379120040414882,1.2587500760736396
viability_percent,,ROUND_009,sens_logit,sens_baseline,12,-0.32546095149370835,0.6798368334918562
