endpoint,mechanical_definition_id,variant,cohort,n,mae,bias,rmse,r2,interval_95_coverage,interval_95_width,spearman,future_interval_95_coverage,future_interval_95_width
viability_percent,,sens_bounds,ROUND_007,12,9.134718741938459,6.510076767412034,10.13467853190372,0.6828227538350875,0.5833333333333334,23.33595346515294,0.9090909090909092,0.6666666666666666,24.20561380130233
viability_percent,,sens_bounds,ROUND_008,12,14.130520101320732,1.6867132324952399,17.358560475962733,-1.3246547655706,0.4166666666666667,19.726870866944207,0.6713286713286714,0.4166666666666667,20.422328527624927
viability_percent,,sens_bounds,ROUND_009,12,11.040344497395388,5.711972797591,14.692146401582939,0.24246432258322748,0.4166666666666667,27.744216304004166,0.5874125874125874,0.5,28.58412770052557
viability_percent,,sens_bounds,role:cold_start_graduation,6,14.920656844082373,14.920656844082373,17.42902168955646,-7.619379119685924,0.5,35.24900936668163,0.14285714285714288,0.5,35.52113941620825
viability_percent,,sens_bounds,role:rescue_candidate,11,13.414380724376047,5.481695047790233,14.946165916370695,0.25363592535240786,0.09090909090909091,8.438351144692577,0.6272727272727273,0.18181818181818182,9.51005625264321
viability_percent,,sens_bounds,role:retest_priority,9,11.32034684818772,-4.470280116496802,13.514075296209292,0.15323984533808976,0.1111111111111111,3.5757537137744126,0.6833333333333333,0.1111111111111111,5.318637574482088
viability_percent,,sens_bounds,role:screening_candidate,58,13.325791237214458,6.270919656516422,17.30359109698674,-0.03482870117386683,0.6206896551724138,34.16002047925769,0.4850116124049077,0.6379310344827587,34.54024424669206
viability_percent,,sens_bounds,support:model_supported,11,10.479821838422126,9.563375160241153,12.930472645108742,-0.08579397407395173,0.09090909090909091,6.5282957357644165,0.6272727272727273,0.2727272727272727,7.796821026066144
viability_percent,,sens_bounds,support:observed_retest,6,11.581424640773932,-1.3063245432375548,14.419410524592235,0.201233966789369,0.16666666666666666,3.47993982271382,0.48571428571428577,0.16666666666666666,5.25880060668562
viability_percent,,sens_bounds,support:unclassified_historical,48,14.587377965352161,6.383296917701848,18.17215411911868,-0.052321161641952774,0.5,30.585300049571003,0.38108936969553125,0.5,31.049885820861856
viability_percent,,sens_bounds,support:unknown_cold_start,4,11.032075907848384,11.032075907848384,11.477557269571637,-12.54801131484057,1.0,42.63102997772509,0.6000000000000001,1.0,42.816860931209796
viability_percent,,sens_bounds,support:unknown_prior_reversion,15,12.184807225944962,1.6945113623572285,15.968852861509937,-0.5583772348367386,0.7333333333333333,39.09796504617493,0.39999999999999997,0.7333333333333333,39.33063744678357
viability_percent,,sens_bounds_learned,pooled,84,14.473081010636893,9.189793083000293,17.832903278162224,-0.039676886077967044,0.7261904761904762,47.511324463130734,0.5304167784657338,0.7261904761904762,47.84760558884669
viability_percent,,sens_bounds_learned,ROUND_003,12,6.062815799872752,-4.162286712096845,7.631062962546035,0.3581162309307082,0.9166666666666666,47.43069421489859,0.5779343363791357,0.9166666666666666,47.712075835937384
viability_percent,,sens_bounds_learned,ROUND_004,12,15.808528647871702,9.638014586321134,21.356795353208877,-0.2678021851985031,0.6666666666666666,42.06076360331661,0.09090909090909093,0.6666666666666666,42.262806542265785
viability_percent,,sens_bounds_learned,ROUND_005,12,17.482481853573937,16.29930061581649,21.17031250212681,-0.37447690532890787,0.5833333333333334,43.82931026139317,0.5734265734265735,0.5833333333333334,44.09538617355896
viability_percent,,sens_bounds_learned,ROUND_006,12,18.766123273877557,10.01894584815181,20.196219511450444,-0.4927091290273451,0.6666666666666666,44.681074257539535,0.3356643356643357,0.6666666666666666,45.08908159885962
viability_percent,,sens_bounds_learned,ROUND_007,12,14.518984341937395,11.431745155435939,17.06202231856898,0.1010343853074347,0.75,47.85104951458347,0.7762237762237763,0.75,48.257253171505745
viability_percent,,sens_bounds_learned,ROUND_008,12,17.296670318053927,15.206666179143014,18.883720171694286,-1.7510986497081937,0.75,54.64393325033765,0.6713286713286714,0.75,55.017730482268206
viability_percent,,sens_bounds_learned,ROUND_009,12,11.375962839270983,5.8961659082305,14.420968708316336,0.2701704123269172,0.75,52.082446139846105,0.6783216783216784,0.75,52.498905317531076
viability_percent,,sens_bounds_learned,role:cold_start_graduation,6,23.805018827556523,23.805018827556523,24.60725249630468,-16.181307627936174,1.0,67.06127234963309,0.2571428571428572,1.0,67.17672831704986
viability_percent,,sens_bounds_learned,role:rescue_candidate,11,11.88493736259378,3.582830353947418,13.338759713423327,0.4055408347679692,0.6363636363636364,31.871366468098426,0.6636363636363638,0.6363636363636364,32.16233088139725
viability_percent,,sens_bounds_learned,role:retest_priority,9,12.768564828725495,-4.56456315675025,14.411869712936674,0.036995315949493124,0.0,3.782304469240717,0.7666666666666667,0.0,5.454147271591218
viability_percent,,sens_bounds_learned,role:screening_candidate,58,14.263056853122391,10.875559319379587,18.219673970290764,-0.14730049410675616,0.8275862068965517,55.240652576429895,0.48187397147985545,0.8275862068965517,55.40112990381262
viability_percent,,sens_bounds_learned,support:model_supported,11,9.874060667568852,8.658645315961529,12.539932285780798,-0.021195776808170086,0.7272727272727273,43.57083759147338,0.5636363636363637,0.7272727272727273,43.765768813642005
viability_percent,,sens_bounds_learned,support:observed_retest,6,12.741095673042631,-0.43509316507976514,14.602965083874093,0.18076845025235233,0.0,3.7202923186202312,0.6571428571428573,0.0,5.414190956863799
viability_percent,,sens_bounds_learned,support:unclassified_historical,48,14.529987393798988,7.948493584548149,18.509559987271338,-0.09176123683949333,0.7083333333333334,44.50046058428697,0.4236979945653493,0.7083333333333334,44.78983753765544
viability_percent,,sens_bounds_learned,support:unknown_cold_start,4,25.789337440068575,25.789337440068575,25.9824340015976,-68.42825971606534,1.0,71.63810528449578,0.0,1.0,71.74527596972266
viability_percent,,sens_bounds_learned,support:unknown_prior_reversion,15,15.338721256624012,12.974869177889392,17.4327011068567,-0.8571822521448644,1.0,71.118383886753,0.38928571428571423,1.0,71.22646407236834
viability_percent,,sens_bounds_learned_restarts,pooled,84,14.473081795388122,9.189793556221359,17.83290397247841,-0.039676967036685884,0.7261904761904762,47.51131863199924,0.5304167784657338,0.7261904761904762,47.847599772850266
viability_percent,,sens_bounds_learned_restarts,ROUND_003,12,6.062815799872752,-4.162286712096845,7.631062962546035,0.3581162309307082,0.9166666666666666,47.43069421489859,0.5779343363791357,0.9166666666666666,47.712075835937384
viability_percent,,sens_bounds_learned_restarts,ROUND_004,12,15.808534350382297,9.638018061991248,21.356799433567712,-0.2678026696427518,0.6666666666666666,42.060719380758705,0.09090909090909093,0.6666666666666666,42.26276245704672
viability_percent,,sens_bounds_learned_restarts,ROUND_005,12,17.48248165597148,16.29930043404413,21.17031238084817,-0.37447688958094116,0.5833333333333334,43.82931124741708,0.5734265734265735,0.5833333333333334,44.09538714031828
viability_percent,,sens_bounds_learned_restarts,ROUND_006,12,18.76612326222802,10.018945866801522,20.196219615223576,-0.49270914436715674,0.6666666666666666,44.68107667615308,0.3356643356643357,0.6666666666666666,45.08908400534438
viability_percent,,sens_bounds_learned_restarts,ROUND_007,12,14.518984341937395,11.431745155435939,17.06202231856898,0.1010343853074347,0.75,47.85104951458347,0.7762237762237763,0.75,48.257253171505745
viability_percent,,sens_bounds_learned_restarts,ROUND_008,12,17.296670318053927,15.206666179143014,18.883720171694286,-1.7510986497081937,0.75,54.64393325033765,0.6713286713286714,0.75,55.017730482268206
viability_percent,,sens_bounds_learned_restarts,ROUND_009,12,11.375962839270983,5.8961659082305,14.420968708316336,0.2701704123269172,0.75,52.082446139846105,0.6783216783216784,0.75,52.498905317531076
viability_percent,,sens_bounds_learned_restarts,role:cold_start_graduation,6,23.80501944076845,23.80501944076845,24.60725298111028,-16.181308304939357,1.0,67.06127270705224,0.2571428571428572,1.0,67.17672867318994
viability_percent,,sens_bounds_learned_restarts,role:rescue_candidate,11,11.884936721964662,3.582829823243521,13.338759316185474,0.40554087017481133,0.6363636363636364,31.871367151139285,0.6636363636363638,0.6363636363636364,32.162331556040385
