panel_row,stage,label,iteration_dir,x_feature,x_value,predicted_mean,predicted_std,ucb,is_selected,training_points,anchor_mode,acquisition,kappa
1,0,literature_only,literature_only,ectoin_M,0.2226947907800115,64.774692,24.897888,77.223636,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.22622962872890057,64.747077,24.913907,77.204031,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.22976446667778963,64.719551,24.928606,77.183853,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.23329930462667872,64.692203,24.942077,77.163242,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.23683414257556779,64.665118,24.954409,77.142323,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.24036898052445685,64.63837,24.965683,77.121211,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.2439038184733459,64.612023,24.975978,77.100012,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.247438656422235,64.586135,24.985369,77.078819,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.25097349437112404,64.560756,24.993925,77.057718,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.25450833232001313,64.535929,25.001712,77.036785,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.2580431702689022,64.511691,25.008791,77.016086,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.26157800821779126,64.488072,25.015221,76.995682,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.26511284616668035,64.465098,25.021054,76.975625,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.26864768411556944,64.442788,25.026341,76.955959,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.2721825220644585,64.421159,25.031127,76.936723,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.27571736001334757,64.400222,25.035457,76.917951,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.27925219796223666,64.379984,25.03937,76.899669,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.2827870359111257,64.36045,25.042903,76.881902,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.2863218738600148,64.341621,25.04609,76.864666,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.2898567118089039,64.323495,25.048962,76.847976,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.2933915497577929,64.306069,25.051548,76.831842,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.296926387706682,64.289336,25.053874,76.816273,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.30046122565557104,64.273288,25.055965,76.801271,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.30399606360446013,64.257917,25.057843,76.786839,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3075309015533492,64.243211,25.059528,76.772975,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.31106573950223826,64.229159,25.061039,76.759678,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.31460057745112735,64.215748,25.062392,76.746944,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.31813541540001644,64.202964,25.063602,76.734765,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3216702533489055,64.190794,25.064685,76.723136,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.32520509129779457,64.179223,25.065651,76.712048,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.32873992924668366,64.168236,25.066514,76.701493,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3322747671955727,64.15782,25.067282,76.691461,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3358096051444618,64.147959,25.067966,76.681942,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3393444430933509,64.138638,25.068574,76.672925,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3428792810422399,64.129845,25.069112,76.664401,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.346414118991129,64.121564,25.069589,76.656359,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.34994895694001804,64.113782,25.07001,76.648788,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.35348379488890713,64.106487,25.070381,76.641678,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3570186328377962,64.099666,25.070706,76.635019,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.36055347078668526,64.093306,25.07099,76.628801,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.36408830873557435,64.087398,25.071236,76.623016,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.36762314668446344,64.08193,25.071447,76.617653,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3711579846333525,64.076893,25.071627,76.612706,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.37469282258224157,64.072277,25.071777,76.608166,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.37822766053113066,64.068076,25.0719,76.604026,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3817624984800197,64.064281,25.071998,76.60028,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3852973364289088,64.060887,25.072071,76.596923,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3888321743777978,64.057888,25.072121,76.593948,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.3923670123266869,64.055279,25.072148,76.591353,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.395901850275576,64.053056,25.072153,76.589133,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.39943668822446504,64.051218,25.072136,76.587286,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.40297152617335413,64.049763,25.072096,76.585811,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4065063641222432,64.048688,25.072033,76.584705,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.41004120207113226,64.047996,25.071946,76.583969,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.41357604002002135,64.047687,25.071834,76.583604,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.41711087796891044,64.047762,25.071695,76.58361,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4206457159177995,64.048226,25.071528,76.58399,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.42418055386668857,64.049082,25.071329,76.584747,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.42771539181557766,64.050335,25.071098,76.585884,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4312502297644667,64.051992,25.070829,76.587406,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4347850677133558,64.054058,25.070521,76.589318,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4383199056622448,64.056541,25.070168,76.591626,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4418547436111339,64.059452,25.069768,76.594336,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.445389581560023,64.062798,25.069313,76.597455,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.44892441950891204,64.066591,25.0688,76.600991,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.45245925745780113,64.070842,25.068221,76.604952,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4559940954066902,64.075563,25.06757,76.609348,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.45952893335557926,64.080767,25.066839,76.614186,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.46306377130446835,64.086468,25.066019,76.619478,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.46659860925335744,64.092681,25.065101,76.625232,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4701334472022465,64.099421,25.064075,76.631459,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.47366828515113557,64.106705,25.062928,76.638169,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4772031231000246,64.114548,25.06165,76.645373,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4807379610489137,64.122968,25.060225,76.653081,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4842727989978028,64.131983,25.058639,76.661303,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4878076369466918,64.141612,25.056876,76.67005,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.4913424748955809,64.151873,25.054918,76.679332,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.49487731284447,64.162785,25.052745,76.689158,False,216,median_profile,ucb,0.5
1,0,literature_only,literature_only,ectoin_M,0.49841215079335904,64.174369,25.050336,76.699537,False,216,median_profile,ucb,0.5
