endpoint,formulation_id,batch_id,actual,predicted,predicted_std,absolute_error,squared_error
viability_percent,legacy_lit_31,legacy_literature,17.0,55.07175146806737,54.70593801099419,38.07175146806737,1449.4582598462898
viability_percent,legacy_lit_39,legacy_literature,80.0,71.37330352836914,55.3577245535028,8.626696471630865,74.41989201364841
viability_percent,legacy_lit_41,legacy_literature,51.5,55.95757529469131,58.343238319165266,4.45757529469131,19.869977507842318
viability_percent,legacy_lit_48,legacy_literature,85.65,58.79367388200709,57.651368570642035,26.856326117992914,721.2622525559883
viability_percent,legacy_lit_74,legacy_literature,78.0,57.15621196364818,58.24422798808657,20.843788036351818,434.46349970436313
viability_percent,legacy_lit_77,legacy_literature,28.0,50.86254769884369,57.213883866176474,22.86254769884369,522.6960872819029
viability_percent,legacy_lit_88,legacy_literature,69.7,60.31649431624954,58.410551625218766,9.383505683750464,88.05017891697726
viability_percent,legacy_lit_89,legacy_literature,55.5,60.11044905511527,58.437053929115415,4.610449055115268,21.256240489813266
viability_percent,legacy_lit_90,legacy_literature,4.6,59.64246741767754,58.861375838479994,55.042467417677535,3029.673219426093
viability_percent,legacy_lit_91,legacy_literature,53.2,57.99827266208175,58.68031080865309,4.79827266208175,23.023420539681087
viability_percent,legacy_lit_94,legacy_literature,55.4,54.76326305175117,58.04074144077799,0.6367369482488314,0.405433941265235
viability_percent,legacy_lit_97,legacy_literature,70.5,58.57843999943917,58.71113927008119,11.92156000056083,142.12359284697195
viability_percent,legacy_lit_101,legacy_literature,77.0,53.49575480447873,54.79677781982386,23.50424519552127,552.4495422111847
viability_percent,legacy_lit_112,legacy_literature,31.883333333333336,53.49626795260731,54.79683067419734,21.612934619273975,467.1189428570115
viability_percent,legacy_lit_115,legacy_literature,86.0,66.60822921402699,54.97645370499012,19.39177078597301,376.0407742157162
viability_percent,legacy_lit_127,legacy_literature,70.0,64.221700333266,54.90466054969161,5.778299666734,33.38874703857826
viability_percent,legacy_lit_130,legacy_literature,65.0,57.27213900234708,57.647970159944286,7.727860997652918,59.719835599045155
viability_percent,legacy_lit_131,legacy_literature,32.0,58.09813442545903,54.74559650807814,26.09813442545903,681.1126204893297
viability_percent,legacy_lit_197,legacy_literature,83.0,53.49626795260731,54.79683067419734,29.50373204739269,870.4702047243463
viability_percent,legacy_lit_203,legacy_literature,63.0,64.18991520557955,54.89045996029732,1.1899152055795525,1.4158981964694288
viability_percent,legacy_lit_204,legacy_literature,67.0,59.17128410389775,54.775656286966324,7.828715896102253,61.288792581884096
viability_percent,legacy_lit_224,legacy_literature,91.0,67.14491529164124,57.3784208840058,23.85508470835876,569.0650664429719
viability_percent,legacy_lit_235,legacy_literature,80.0,58.931676698122594,58.85788732928524,21.068323301877406,443.8742467524305
viability_percent,legacy_lit_254,legacy_literature,80.0,57.40433586612849,58.4269811904098,22.59566413387151,510.5640376507273
viability_percent,legacy_lit_259,legacy_literature,7.0,57.23192333308504,58.67584597296902,50.23192333308504,2523.2461217409336
viability_percent,legacy_lit_277,legacy_literature,84.0,59.626339360695425,58.85486155079667,24.373660639304575,594.0753329599851
