round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail,production_strategy,strategy_decision_id
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_13f1ff7a70b9,53.7125,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_445849cbfa02,10.96,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_4673547a29eb,6.8175,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_88865d95334d,15.755,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_9d3ceb7016d5,10.6,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_b0c3376ad599,24.755000000000003,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_b7e07e99afa8,40.6125,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_d9aaefea702e,28.4675,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_e579d58c9088,8.125,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_ea8a9ce5fcb2,48.9925,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,individual_formulation,v2_fb629591d74c,40.18,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,observed_viability,median_iqr,,20.255000000000003,9.98125,40.288125,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,prospective_performance,mae,,30.674374499006138,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,prospective_performance,bias,,25.122825914499092,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,prospective_performance,interval_95_coverage,,0.6666666666666666,,,,,current,historical_current
ROUND_006,6,screening_only,formal_frozen,feasibility_mechanics,intact_pass_proportion,,0.8333333333333334,0.5519636426153274,0.9530358523851776,10.0,2.0,current,historical_current
ROUND_006,6,screening_only,formal_frozen,feasibility_mechanics,mechanical_measurement_count,,0.0,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_2df18f043f0c,5.9925,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_655dce03a47b,57.5075,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6f20e63adb1d,48.9975,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_6fb2fa9dc5d5,49.37,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_724742f4ebc1,12.6675,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_7371aa062562,50.095,,,,,current,historical_current
ROUND_007,7,screening_only,formal_frozen,observed_viability,individual_formulation,v2_a1a1ae0b19bb,13.497499999999999,,,,,current,historical_current
