strategy,model_name,batch_id,formulation_id,stage,evidence,predicted,latent_lower,latent_upper,future_lower,future_upper,is_control,conditioning_ids,calibration_status,actual,evaluation_subset,conditioning_observation_ids,model_version,training_sha256,training_cutoff,created_at
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_b2c883db5caf,reference_conditioned,historical_forward_refit,39.7365634974335,9.37915556461147,70.09397143025554,9.363341468814838,70.10978552605216,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,43.185,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_75d69addc009,before_batch,historical_forward_refit,40.06856965070362,10.088338895918596,70.04880040548865,10.072325950697484,70.06481335070976,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,29.2025,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_42188f45e98a,before_batch,historical_forward_refit,40.06202935669325,10.026611578872489,70.09744713451401,10.010628040145107,70.1134306732414,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,38.805,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_a3cd6cc2afa7,before_batch,historical_forward_refit,40.77582915789303,10.436125471839429,71.11553284394662,10.420302152790075,71.13135616299598,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,57.3875,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_655729013931,before_batch,historical_forward_refit,39.951635084084735,9.594462684188208,70.30880748398127,9.578648465758253,70.32462170241122,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,64.9,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_34d667ff4762,before_batch,historical_forward_refit,41.50788063476046,11.203241893179882,71.81251937634104,11.187400274817172,71.82836099470376,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,63.88,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_db8935ce2c34,before_batch,historical_forward_refit,41.22339018759501,10.904576425193763,71.54220394999625,10.888742209430315,71.5580381657597,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,61.5875,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_fc5b4c04eee9,before_batch,historical_forward_refit,40.150931981789576,9.79574925093628,70.50611471264287,9.779933996483027,70.52192996709613,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,56.2875,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_3e8ef993abba,before_batch,historical_forward_refit,40.63445907520218,10.308186523214136,70.96073162719023,10.292356199866344,70.97656195053801,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,65.5625,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_8a721b7d8f1c,before_batch,historical_forward_refit,40.25958699330934,9.915832652388024,70.60334133423066,9.900011444527678,70.619162542091,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,63.9975,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_384020959c42,before_batch,historical_forward_refit,39.81470233745297,10.22172755388064,69.4076771210253,10.205505176078468,69.42389949882747,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,21.375,matched_nonreference,,,,,
control,Proposed GP — campaign-only + batch effect + control calibration,ROUND_002,v2_b2c883db5caf,before_batch,historical_forward_refit,39.730383929260405,9.372975916755369,70.08779194176545,9.357161821000226,70.10360603752059,False,"[""v2_e0e6b16a3f20""]",insufficient reference history; prior-sensitive,43.185,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_430e18c49d10,reference_conditioned,historical_forward_refit,54.63842923071162,26.751913523072467,82.52494493835079,26.73469904436547,82.54215941705777,False,"[""v2_75d69addc009""]",not used,65.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_d93bf1a562c8,reference_conditioned,historical_forward_refit,49.18483746045673,17.15808778601552,81.21158713489794,17.143097577776828,81.22657734313663,False,"[""v2_75d69addc009""]",not used,29.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_84c11063c325,reference_conditioned,historical_forward_refit,44.63335530032252,13.88311462757628,75.38359597306876,13.867502452858384,75.39920814778665,False,"[""v2_75d69addc009""]",not used,44.5,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_4aeffae55153,reference_conditioned,historical_forward_refit,49.36166224278462,17.33153716347632,81.39178732209291,17.31654853419974,81.4067759513695,False,"[""v2_75d69addc009""]",not used,48.5,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_27a2b16cc327,reference_conditioned,historical_forward_refit,52.67130702824793,22.09283861665391,83.24977543984195,22.07713878659029,83.26547526990558,False,"[""v2_75d69addc009""]",not used,53.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_8f6028d7e59a,reference_conditioned,historical_forward_refit,49.16061829859812,17.150793195250863,81.17044340194539,17.135795064942634,81.1854415322536,False,"[""v2_75d69addc009""]",not used,41.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_0a63a12b60f3,reference_conditioned,historical_forward_refit,48.10981358066269,16.170075859798306,80.04955130152707,16.15504483361013,80.06458232771524,False,"[""v2_75d69addc009""]",not used,38.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_3db5f7aa7cdd,reference_conditioned,historical_forward_refit,48.66445668274768,16.67137139314143,80.65754197235393,16.656365419005944,80.6725479464894,False,"[""v2_75d69addc009""]",not used,38.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_4f4525f1566d,reference_conditioned,historical_forward_refit,48.217308913044725,16.26445874654412,80.17015907954533,16.249433885717092,80.18518394037235,False,"[""v2_75d69addc009""]",not used,36.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_afa1348627bc,reference_conditioned,historical_forward_refit,49.29660537782963,17.268362644742233,81.32484811091703,17.253373134974268,81.339837620685,False,"[""v2_75d69addc009""]",not used,38.5,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_a7291b600bea,reference_conditioned,historical_forward_refit,49.17393870205848,17.148119494497337,81.19975790961962,17.13312885094217,81.21474855317479,False,"[""v2_75d69addc009""]",not used,52.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_430e18c49d10,before_batch,historical_forward_refit,48.90349500347893,20.570065141324815,77.23692486563304,20.55312202967827,77.25386797727958,False,"[""v2_75d69addc009""]",not used,65.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_d93bf1a562c8,before_batch,historical_forward_refit,44.54986003882773,12.267908902664942,76.8318111749905,12.253037143106198,76.84668293454925,False,"[""v2_75d69addc009""]",not used,29.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_84c11063c325,before_batch,historical_forward_refit,39.30165328528643,8.200306383588277,70.40300018698457,8.184870368349635,70.41843620222322,False,"[""v2_75d69addc009""]",not used,44.5,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_4aeffae55153,before_batch,historical_forward_refit,44.75037503543684,12.467666820851242,77.03308325002243,12.452795409897206,77.04795466097647,False,"[""v2_75d69addc009""]",not used,48.5,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_27a2b16cc327,before_batch,historical_forward_refit,47.34737770706762,16.41687598905355,78.2778794250817,16.401354755352628,78.29340065878262,False,"[""v2_75d69addc009""]",not used,53.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_8f6028d7e59a,before_batch,historical_forward_refit,44.4659061905522,12.194148809994855,76.73766357110954,12.17927235502271,76.75254002608168,False,"[""v2_75d69addc009""]",not used,41.0,matched_nonreference,,,,,
batch,Proposed GP — campaign-only + batch effect,ROUND_003,v2_0a63a12b60f3,before_batch,historical_forward_refit,43.28714694725916,11.070465192262468,75.50382870225584,11.055563317180775,75.51873057733755,False,"[""v2_75d69addc009""]",not used,38.0,matched_nonreference,,,,,
