formulation_id,batch_id,actual,predicted,predicted_std,cv_fold,panel,endpoint,paired_rows_cumulative,pareto_points_cumulative,normalized_hypervolume,igd,viability_r2,load_r2
v2_0a63a12b60f3,ROUND_003,38.0,42.53582345491451,19.765410437528608,1.0,all_cv,viability_percent,,,,,,
v2_3db5f7aa7cdd,ROUND_003,38.0,41.885424185367654,17.794299095897927,1.0,all_cv,viability_percent,,,,,,
v2_4f4525f1566d,ROUND_003,36.0,43.51202504231122,21.226966266750228,1.0,all_cv,viability_percent,,,,,,
v2_eb8bb8b8618f,ROUND_004,52.8825,63.350609114199955,16.639730842930174,1.0,all_cv,viability_percent,,,,,,
v2_1e09bd3298a1,ROUND_004,0.69,7.820220202368645,7.37006632338311,1.0,all_cv,viability_percent,,,,,,
v2_13f1ff7a70b9,ROUND_006,53.7125,66.97327459753653,3.2224369979280185,1.0,all_cv,viability_percent,,,,,,
v2_b7e07e99afa8,ROUND_006,40.6125,13.089771687730774,2.834201225592686,1.0,all_cv,viability_percent,,,,,,
v2_445849cbfa02,ROUND_006,10.96,51.682589984972154,26.26739224245038,1.0,all_cv,viability_percent,,,,,,
v2_445849cbfa02,ROUND_008,23.572499999999998,51.682589984972154,26.26739224245038,1.0,all_cv,viability_percent,,,,,,
v2_6f20e63adb1d,ROUND_007,48.9975,36.96744726444247,4.906394337400374,1.0,all_cv,viability_percent,,,,,,
v2_6f20e63adb1d,ROUND_008,26.3825,36.96744726444247,4.906394337400374,1.0,all_cv,viability_percent,,,,,,
v2_6f20e63adb1d,ROUND_009,59.495,36.96744726444247,4.906394337400374,1.0,all_cv,viability_percent,,,,,,
v2_6f20e63adb1d,ROUND_010,26.384999999999998,36.96744726444247,4.906394337400374,1.0,all_cv,viability_percent,,,,,,
v2_655dce03a47b,ROUND_007,57.5075,14.294721291310474,8.093831922600367,1.0,all_cv,viability_percent,,,,,,
v2_adfd2284b7fb,ROUND_007,8.127500000000001,50.83756546284612,26.264999683901728,1.0,all_cv,viability_percent,,,,,,
v2_a1a1ae0b19bb,ROUND_007,13.497499999999999,51.68608848669733,26.267385075755083,1.0,all_cv,viability_percent,,,,,,
v2_2c468d77758b,ROUND_008,18.295,51.71882449336588,26.2673980138954,1.0,all_cv,viability_percent,,,,,,
v2_74bd7b4dd0a7,ROUND_009,36.2425,69.40847965464098,12.117247580915231,1.0,all_cv,viability_percent,,,,,,
v2_a4c0156ecbf5,ROUND_009,31.7125,51.60343751614114,26.26733309824784,1.0,all_cv,viability_percent,,,,,,
v2_c60ceb90bc67,ROUND_010,27.770000000000003,50.007596779346464,26.225171469810498,1.0,all_cv,viability_percent,,,,,,
v2_d36a198b8927,ROUND_010,16.0075,50.23724540642638,26.245207660256767,1.0,all_cv,viability_percent,,,,,,
legacy_lit_2,legacy_literature,12.5,34.815767513378134,6.583009189111442,2.0,all_cv,viability_percent,,,,,,
legacy_lit_7,legacy_literature,82.14,62.877767832712465,20.276051280422617,2.0,all_cv,viability_percent,,,,,,
legacy_lit_10,legacy_literature,63.17777777777778,76.25417110767143,14.687997681577459,2.0,all_cv,viability_percent,,,,,,
legacy_lit_13,legacy_literature,86.8,34.795636673020994,11.676538946290073,2.0,all_cv,viability_percent,,,,,,
legacy_lit_15,legacy_literature,89.8,33.04543728195273,18.455660359683456,2.0,all_cv,viability_percent,,,,,,
legacy_lit_22,legacy_literature,82.25,57.90698106859978,3.6217405254380557,2.0,all_cv,viability_percent,,,,,,
