sample_index,time_s,displacement_mm,force_N,analysis_window,formulation_number,replicate_id,source_file_hash
95,2.375,0.0285,0.1554,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
96,2.4,0.0288,0.1598,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
97,2.425,0.0292,0.1637,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
98,2.45,0.0295,0.1672,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
99,2.475,0.0298,0.1701,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
100,2.5,0.0301,0.1728,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
101,2.525,0.0305,0.1749,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
102,2.55,0.0308,0.1775,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
103,2.575,0.0311,0.1809,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
104,2.6,0.0314,0.1827,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
105,2.625,0.0317,0.1857,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
106,2.65,0.032,0.1877,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
107,2.675,0.0323,0.1897,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
108,2.7,0.0326,0.1905,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
109,2.725,0.0329,0.1942,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
110,2.75,0.0333,0.1979,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
111,2.775,0.0336,0.2012,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
112,2.8,0.0339,0.2038,False,2,mechanical_001,5d9e599272f7debe42d9faf9ee68c67cbef8ead7fd12696dab2dccbe9a164d6a
