variant,cohort,n,mae,bias,rmse,r2,interval_95_coverage,interval_95_width,spearman
campaign_median,ROUND_008,12,16.377083333333335,15.45541666666667,19.19606700711546,-1.8428606081581793,1.0,73.00863451422471,
current_mixed,ROUND_003,12,16.536584398699606,14.765135305195315,18.108306764727367,-2.614448211842299,0.9166666666666666,77.03061184755327,0.5989501304292861
current_mixed,ROUND_004,12,29.947990928664577,27.715012849879987,34.2044856763948,-2.251961928656827,0.5833333333333334,76.62552528712119,0.09090909090909093
current_mixed,ROUND_005,12,30.47350379358647,30.47350379358647,33.87960602971565,-2.520137374476364,0.75,76.59497353330833,0.7323649216501577
current_mixed,ROUND_006,12,30.674374499006163,25.122825914499117,33.914263943763686,-3.2092024621020734,0.6666666666666666,63.559676896043584,0.33625270480240615
current_mixed,ROUND_007,12,22.187764969600277,20.439580945250952,29.00029925263236,-1.597090165554111,0.6666666666666666,60.04486819641366,0.21366057284319562
current_mixed,ROUND_008,12,34.916010522147225,32.82513689021208,36.94392404435876,-9.529726638669809,0.4166666666666667,65.61596590260959,0.07692307692307693
legacy_correction,ROUND_003,12,6.679350354767332,-1.4024398208956281,8.343975658690326,0.23258130050783843,1.0,104.54446030334093,0.45884483676161686
legacy_correction,ROUND_004,12,18.438257420318745,13.286724647583435,24.145849612763833,-0.6205569827385284,1.0,97.2339374861097,0.006993006993006993
legacy_correction,ROUND_005,12,17.14002282523707,11.942220351639717,19.398314597775123,-0.154013544299763,1.0,99.08436881690265,0.43356643356643365
legacy_correction,ROUND_006,12,20.26696246011241,13.862592381517047,22.175906583712173,-0.799690362804425,0.9166666666666666,95.34791849795636,0.32224217543563927
legacy_correction,ROUND_007,12,13.105733648147174,9.60064748398097,16.068718648368332,0.2026581449840159,1.0,94.37234488361896,0.5288974835954515
legacy_correction,ROUND_008,12,18.80257463990824,15.930126767688405,20.217679612821602,-2.1535060708469524,1.0,98.65239078512634,0.5664335664335665
campaign_bounds_learned,pooled,72,14.989267372531211,9.73873094546192,18.339950639754477,-0.11053318884907659,0.7222222222222222,46.74947085034483,0.5016922446319797
campaign_bounds_learned,role:cold_start_graduation,6,23.805018827556523,23.805018827556523,24.60725249630468,-16.181307627936174,1.0,67.06127234963309,0.2571428571428572
campaign_bounds_learned,role:rescue_candidate,10,12.715209148206217,4.2993353399891,13.943870771863768,0.35954164670193933,0.6,29.10252365190924,0.6848484848484848
campaign_bounds_learned,role:retest_priority,7,12.53236352378407,-3.5318486746833555,13.968643593907375,-0.5505704125956021,0.0,3.9088959008312716,0.7857142857142859
campaign_bounds_learned,role:screening_candidate,49,14.72486738180321,11.02220617205738,18.775904685527365,-0.17141820985462908,0.8163265306122449,53.98381141432894,0.4411337025339128
campaign_bounds_learned,support:model_supported,7,10.347411906054719,10.347411906054719,13.378881681150302,-0.2165171267638475,0.7142857142857143,42.05695874417231,0.7500000000000002
campaign_bounds_learned,support:observed_retest,4,12.314008811553713,3.4368921743725425,13.928591680571918,-0.12262088381188319,0.0,3.9108212485934595,1.0
campaign_bounds_learned,support:unclassified_historical,48,14.529987393798985,7.948493584548146,18.509559987271338,-0.09176123683949333,0.7083333333333334,44.50046058428697,0.4236979945653493
campaign_bounds_learned,support:unknown_cold_start,4,25.789337440068575,25.789337440068575,25.9824340015976,-68.42825971606534,1.0,71.63810528449578,0.0
campaign_bounds_learned,support:unknown_prior_reversion,9,17.43806528566929,14.480459357199988,18.388276521236058,-0.9099907398662699,1.0,70.37170842638781,0.6666666666666667
campaign_existing,pooled,72,15.853840594097973,11.147051383594796,19.01255980027875,-0.19348345635058561,0.7916666666666666,53.300357275102776,0.5971315561758458
campaign_existing,role:cold_start_graduation,6,25.37872308655344,25.37872308655344,26.043509515375373,-18.24549021556656,1.0,70.33638548656567,-0.3714285714285715
campaign_existing,role:rescue_candidate,10,12.056942113931447,3.6621652290584477,13.99725479543445,0.35462827752946646,0.8,40.392574351720086,0.6484848484848483
campaign_existing,role:retest_priority,7,12.543381424350306,-3.534596656830207,13.988978735802421,-0.5550882485829731,0.0,3.909599913626586,0.7857142857142859
campaign_existing,role:screening_candidate,49,15.935328431550344,13.029303783810853,19.497627560346768,-0.26320480129279855,0.8775510204081632,60.904376897457524,0.6113066993213939
campaign_existing,support:model_supported,7,11.16168665458704,11.16168665458704,13.966734637561196,-0.3257705426162969,0.7142857142857143,36.909230756486785,0.7500000000000002
campaign_existing,support:observed_retest,4,12.322032796805038,3.4433405463551408,13.947241100756582,-0.12562911969548396,0.0,3.908611871313534,1.0
campaign_existing,support:unclassified_historical,48,15.274574555348098,9.523864251887195,18.962119992556314,-0.14580117162533357,0.8125,54.71454378020354,0.5791830644011323
campaign_existing,support:unknown_cold_start,4,26.028921803481374,26.028921803481374,26.21931490357791,-69.69998034216802,1.0,71.70273598810799,-0.7378647873726218
campaign_existing,support:unknown_prior_reversion,9,19.640146570565605,16.602373282976085,20.74715365132401,-1.431455111737776,1.0,72.27973506939293,0.45
campaign_existing_adaptive,pooled,72,15.593513360503842,11.24573360837765,18.88754565086538,-0.17783992467485588,0.8333333333333334,55.3383797365554,0.5918416568279581
campaign_existing_adaptive,role:cold_start_graduation,6,25.381318757800006,25.381318757800006,26.046015997631024,-18.24919484692468,1.0,70.33639093473727,-0.3714285714285715
campaign_existing_adaptive,role:rescue_candidate,10,11.81767613175165,3.7221537637897506,13.978959720181415,0.3563142378360854,0.8,42.582803450213234,0.6242424242424242
campaign_existing_adaptive,role:retest_priority,7,10.74268002479344,-2.2990837139334723,12.644631664759812,-0.2705606048493274,0.42857142857142855,18.522490506036142,0.8571428571428573
campaign_existing_adaptive,role:screening_candidate,49,15.858561794253184,12.985243992163829,19.45247772746257,-0.2573612748962404,0.8775510204081632,61.364480150595504,0.6045206388081024
campaign_existing_adaptive,support:model_supported,7,10.778167183424404,10.778167183424404,13.438898061020137,-0.22745596542166924,0.7142857142857143,40.21157235246175,0.7500000000000002
campaign_existing_adaptive,support:observed_retest,4,10.97465261841982,3.801640925585124,13.522575967966675,-0.05812643051268518,0.5,18.476413188806003,1.0
campaign_existing_adaptive,support:unclassified_historical,48,15.039268322678522,9.685584024893947,18.84026071024666,-0.1311216045201098,0.8333333333333334,56.074364414408315,0.5753290814983695
campaign_existing_adaptive,support:unknown_cold_start,4,26.033258211542005,26.033258211542005,26.22312712935335,-69.72054105341991,1.0,71.70275588622374,-0.7378647873726218
campaign_existing_adaptive,support:unknown_prior_reversion,9,19.707696540432156,16.666446641755773,20.819588480463327,-1.4484626962202358,1.0,72.28846293033763,0.39999999999999997
campaign_mean,pooled,72,16.61193393132716,10.789920717592596,19.69306207650063,-0.28044732452807164,0.9305555555555556,67.17140709287686,0.36392388740215525
campaign_mean,role:cold_start_graduation,6,25.408652777777775,25.408652777777775,26.073262353181796,-18.289488512360165,1.0,70.896079787439,-0.2070196678027063
campaign_mean,role:rescue_candidate,10,14.352893750000002,-0.09787638888888636,16.167288527676515,0.13900907497324588,1.0,66.78758505054773,0.49696992650327754
campaign_mean,role:retest_priority,7,14.083842261904762,10.303425595238096,15.15737384254414,-0.8257064249747266,1.0,70.86920048351058,0.25697808437502334
campaign_mean,role:screening_candidate,49,16.356969246031746,11.291370606575967,20.011159055205717,-0.3306220465799614,0.8979591836734694,66.26539955249896,0.36150489057598334
campaign_mean,support:model_supported,7,10.284583333333334,-1.3642261904761892,12.157547122414543,-0.004547609909610673,1.0,72.55026901980328,0.0
campaign_mean,support:observed_retest,4,13.931666666666667,7.315937500000002,14.921844772366127,-0.2884386330779989,1.0,72.60756470660596,0.0
campaign_mean,support:unclassified_historical,48,16.250609230324077,10.349203993055557,19.910116336570567,-0.2632318770972799,0.8958333333333334,64.45332828601232,0.3672162097007598
campaign_mean,support:unknown_cold_start,4,26.06729166666667,26.06729166666667,26.25313718439321,-69.88250051211931,1.0,72.2064948989872,
campaign_mean,support:unknown_prior_reversion,9,20.44912037037037,17.347685185185185,21.63534783798499,-1.644094503800643,1.0,72.83038126639416,0.6210590034081188
campaign_median,pooled,72,16.301770833333336,9.525243055555556,19.274592315817532,-0.22660750906665728,0.9305555555555556,67.17140709287686,0.36392388740215525
campaign_median,role:cold_start_graduation,6,25.121666666666666,25.121666666666666,25.79390540903025,-17.878355862152887,1.0,70.896079787439,-0.2070196678027063
campaign_median,role:rescue_candidate,10,14.8255,-1.4229999999999994,16.57304535986069,0.09524949534671512,1.0,66.78758505054773,0.49696992650327754
campaign_median,role:retest_priority,7,13.834642857142857,10.046071428571429,14.982888126364118,-0.7839147360523846,1.0,70.86920048351058,0.25697808437502334
campaign_median,role:screening_candidate,49,15.875510204081632,9.775408163265306,19.398449982787128,-0.2503865278841888,0.8979591836734694,66.26539955249896,0.36150489057598334
campaign_median,support:model_supported,7,10.429285714285713,-0.9464285714285704,12.15558601748889,-0.004223553690681614,1.0,72.55026901980328,0.0
campaign_median,support:observed_retest,4,14.438125000000001,7.808125000000002,15.266198927287041,-0.34859186971855216,1.0,72.60756470660596,0.0
campaign_median,support:unclassified_historical,48,15.57671875,8.206093749999999,19.09210151435339,-0.1615634843674696,0.8958333333333334,64.45332828601232,0.3672162097007598
campaign_median,support:unknown_cold_start,4,26.03875,26.03875,26.2247977828238,-69.7295524333643,1.0,72.2064948989872,
campaign_median,support:unknown_prior_reversion,9,21.236944444444447,18.12916666666667,22.44701865566512,-1.8462074079390507,1.0,72.83038126639416,0.6210590034081188
