formulation_id,batch_id,endpoint,protocol_id,mean,n_readouts,n_independent,sample_variance,independence_known,mean_variance,noise_source,mean_sd,policy_version,cutoff
legacy_lit_332,legacy_literature,viability_percent,unknown,72.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_338,legacy_literature,viability_percent,unknown,84.3,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_339,legacy_literature,viability_percent,unknown,84.3,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_34,legacy_literature,viability_percent,unknown,50.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_341,legacy_literature,viability_percent,unknown,81.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_343,legacy_literature,viability_percent,unknown,60.6,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_346,legacy_literature,viability_percent,unknown,68.5,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_347,legacy_literature,viability_percent,unknown,69.5,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_349,legacy_literature,viability_percent,unknown,70.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_35,legacy_literature,viability_percent,unknown,80.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_350,legacy_literature,viability_percent,unknown,71.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_351,legacy_literature,viability_percent,unknown,73.1,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_352,legacy_literature,viability_percent,unknown,69.6,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_353,legacy_literature,viability_percent,unknown,72.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_354,legacy_literature,viability_percent,unknown,73.8,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_355,legacy_literature,viability_percent,unknown,68.2,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_356,legacy_literature,viability_percent,unknown,73.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_357,legacy_literature,viability_percent,unknown,74.9,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_358,legacy_literature,viability_percent,unknown,42.4,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_359,legacy_literature,viability_percent,unknown,47.6,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_36,legacy_literature,viability_percent,unknown,70.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_360,legacy_literature,viability_percent,unknown,52.1,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_361,legacy_literature,viability_percent,unknown,50.3,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_362,legacy_literature,viability_percent,unknown,55.3,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_363,legacy_literature,viability_percent,unknown,69.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_368,legacy_literature,viability_percent,unknown,88.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_369,legacy_literature,viability_percent,unknown,92.7,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_37,legacy_literature,viability_percent,unknown,100.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_370,legacy_literature,viability_percent,unknown,90.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_372,legacy_literature,viability_percent,unknown,22.5,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_373,legacy_literature,viability_percent,unknown,72.5,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_374,legacy_literature,viability_percent,unknown,73.95,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_375,legacy_literature,viability_percent,unknown,81.3,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_376,legacy_literature,viability_percent,unknown,86.05,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_38,legacy_literature,viability_percent,unknown,100.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_383,legacy_literature,viability_percent,unknown,5.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_386,legacy_literature,viability_percent,unknown,77.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_39,legacy_literature,viability_percent,unknown,80.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_4,legacy_literature,viability_percent,unknown,81.43333333333332,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_41,legacy_literature,viability_percent,unknown,51.5,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_43,legacy_literature,viability_percent,unknown,85.07,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_44,legacy_literature,viability_percent,unknown,22.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_45,legacy_literature,viability_percent,unknown,28.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_46,legacy_literature,viability_percent,unknown,65.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_47,legacy_literature,viability_percent,unknown,68.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_48,legacy_literature,viability_percent,unknown,85.65,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_49,legacy_literature,viability_percent,unknown,88.5,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_5,legacy_literature,viability_percent,unknown,84.5,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_50,legacy_literature,viability_percent,unknown,70.6,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_51,legacy_literature,viability_percent,unknown,64.1,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_52,legacy_literature,viability_percent,unknown,47.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_53,legacy_literature,viability_percent,unknown,56.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_54,legacy_literature,viability_percent,unknown,65.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_55,legacy_literature,viability_percent,unknown,58.0,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
legacy_lit_56,legacy_literature,viability_percent,unknown,63.333333333333336,1,1,,False,25.0,pooled_conservative_fallback,5.0,offline_replicate_noise_v1,ROUND_003
